project,organism,file_source,project_home,project_type,n_samples
SRP161957,human,sra,data_sources/sra,data_sources,12
SRP091857,human,sra,data_sources/sra,data_sources,12
SRP182857,human,sra,data_sources/sra,data_sources,15
SRP190057,human,sra,data_sources/sra,data_sources,4
SRP093357,human,sra,data_sources/sra,data_sources,12
SRP135757,human,sra,data_sources/sra,data_sources,1
SRP126557,human,sra,data_sources/sra,data_sources,18
SRP098757,human,sra,data_sources/sra,data_sources,10
SRP048957,human,sra,data_sources/sra,data_sources,12
SRP107857,human,sra,data_sources/sra,data_sources,12
SRP150657,human,sra,data_sources/sra,data_sources,51
SRP100157,human,sra,data_sources/sra,data_sources,376
SRP140557,human,sra,data_sources/sra,data_sources,56
SRP014857,human,sra,data_sources/sra,data_sources,2
